2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
0,-3,-10,-18,-4,-7,-13,-11,0,-8,-6,0,-16,2,-5,1,1
-3,-17,-8,-8,0,-5,-16,-6,2,-3,-2,1,-16,-2,-4,1,2
-9,-18,4,-10,-1,-6,-19,0,1,-1,-3,0,-16,-2,-3,0,1
-2,-19,4,-13,0,-9,-16,-5,0,-6,-1,1,-18,-3,0,-1,0
-2,-15,3,-10,1,-5,-16,-14,0,-5,-5,0,-18,-3,-3,-2,-1
-2,-8,4,-5,-2,-3,-18,-15,1,-5,-8,-5,-9,-1,-5,-1,-3
1,1,4,-4,-2,0,-18,-13,1,-1,-7,-4,-18,1,-4,1,3
2,3,0,-4,-6,-2,-15,-14,1,2,-7,-1,-11,1,2,-3,2
1,2,2,0,-5,-1,-12,-14,3,2,-11,-5,-15,1,3,-8,3
0,0,5,-1,-11,0,-6,-12,3,-2,-8,-11,-11,1,1,2,4
2,-1,3,-2,-11,-1,-9,-9,3,-3,-6,-12,-10,1,2,5,4
3,0,1,-2,-14,0,-9,-7,0,-5,-4,-15,-15,0,2,1,2
3,1,1,-3,-6,-1,-7,-8,1,0,-8,-17,-10,1,2,2,4
1,-1,-1,-12,-3,-7,-5,-5,-1,-3,-6,-16,-9,-1,2,-1,3
0,3,-1,-7,0,-2,-6,-7,-6,-5,-11,-13,-8,-2,1,-3,0
0,3,2,2,-2,-1,-7,-6,-5,-4,-9,-16,-6,-2,1,-4,-2
0,2,3,4,-7,-3,-13,-1,-2,-5,-11,-20,-6,-4,4,-2,1
0,0,2,2,-11,-3,-4,-2,-1,-4,-12,-18,-6,-4,1,1,2
-1,-6,2,1,-16,-2,-2,-12,-2,-3,-16,-17,-1,-6,0,2,2
-1,0,-3,-3,-6,-4,0,-15,-1,-5,-22,-16,0,-3,-1,2,0
-1,-1,-4,-1,3,-7,-1,-13,0,-3,-15,-11,-1,-11,-2,2,0
-4,-12,-2,-1,0,-9,-5,-13,4,-3,-11,-12,2,-4,3,4,-2
-7,-14,-5,-3,-3,-7,-9,-12,2,-7,-5,-12,-2,-2,3,3,0
-8,-11,1,-3,-7,-4,-6,-11,-3,-5,-8,-9,-2,-3,7,3,2
-4,-11,0,-1,-1,-6,-1,-5,2,0,-4,-9,-3,1,4,5,2
-7,-10,1,0,-1,-7,-4,-5,2,-1,-3,-7,-4,1,4,2,1
-5,-4,0,-2,0,-9,-8,-3,5,2,2,-2,-5,1,4,2,-3